demonimador,numerador,Frequência,Qtd_0_Denom,Qtd_1_Denom,D0N0,D0N1,D1N0,D1N1
DN - Adormecimento,DN - Choque elétrico,0.532258065,158,62,130,28,29,33
DN - Alfinetada e Agulhada,Dor nas pernas,0.5,136,56,102,34,28,28
DN - Formigamento,D48,0.387096774,88,31,75,13,19,12
DN - Alfinetada e Agulhada,RMDQ1_v1,0.387096774,150,61,93,57,37,24
DN - Sensação de frio dolorosa,Cirurgia na coluna,0.375,148,48,94,54,30,18
DN - Sensação de frio dolorosa,D29,0.375,94,24,63,31,15,9
DN - Formigamento,RMDQ2_v1,0.375,156,55,95,61,34,21
DN - Sensação de frio dolorosa,DN - Choque elétrico,0.375,171,48,128,43,30,18
DN - Alfinetada e Agulhada,RMDQ6_v1,0.370967742,150,62,122,28,39,23
DN - Sensação de frio dolorosa,Feminino,0.333333333,171,48,115,56,32,16
DN - Sensação de frio dolorosa,D32,0.333333333,94,24,67,27,16,8
DN - Choque elétrico,D32,0.333333333,83,36,59,24,24,12
DN - Sensação de frio dolorosa,D44,0.333333333,94,24,65,29,16,8
DN - Sensação de frio dolorosa,D46,0.333333333,94,24,65,29,16,8
DN - Formigamento,D49,0.322580645,88,31,85,3,21,10
